restaurant name,cuisine
Humble Grape - Islington, European
Humble Grape - Islington, Wine Bar
Humble Grape - Islington, Vegetarian Friendly
Humble Grape - Islington, Vegan Options
Humble Grape - Islington, Gluten Free Options 
The Oystermen Seafood Bar & Kitchen, Seafood
The Oystermen Seafood Bar & Kitchen, British
The Oystermen Seafood Bar & Kitchen, Gluten Free Options 
Humble Grape - Battersea, European
Humble Grape - Battersea, Wine Bar
Humble Grape - Battersea, Bar
Humble Grape - Battersea, Mediterranean
Humble Grape - Battersea, British
Humble Grape - Battersea, Vegetarian Friendly
Humble Grape - Battersea, Vegan Options
Humble Grape - Battersea, Gluten Free Options 
Amrutha Lounge, Indian
Amrutha Lounge, Asian
Amrutha Lounge, Healthy
Amrutha Lounge, Vegetarian Friendly
Amrutha Lounge, Vegan Options
Amrutha Lounge, Gluten Free Options 
Oliveira Organic Vegetarian Kitchen, International
Oliveira Organic Vegetarian Kitchen, European
Oliveira Organic Vegetarian Kitchen, Contemporary
Oliveira Organic Vegetarian Kitchen, Healthy
Oliveira Organic Vegetarian Kitchen, Vegetarian Friendly
Oliveira Organic Vegetarian Kitchen, Vegan Options
Oliveira Organic Vegetarian Kitchen, Gluten Free Options 
Pizza Union Dalston, Italian
Pizza Union Dalston, Pizza
Pizza Union Dalston, Fast Food
Pizza Union Dalston, Vegetarian Friendly
Pizza Union Dalston, Vegan Options
Pizza Union Dalston, Gluten Free Options 
Morso, Italian
Morso, Bar
Morso, European
Morso, Mediterranean
Morso, Contemporary
Morso, Vegetarian Friendly
Morso, Vegan Options
Morso, Gluten Free Options 
Core by Clare Smyth, French
Core by Clare Smyth, Irish
Core by Clare Smyth, European
Core by Clare Smyth, British
Core by Clare Smyth, Contemporary
Core by Clare Smyth, Vegetarian Friendly
Core by Clare Smyth, Vegan Options
Core by Clare Smyth, Gluten Free Options 
Buongiorno e Buonasera, Italian
Buongiorno e Buonasera, Pizza
Buongiorno e Buonasera, Deli
Buongiorno e Buonasera, Healthy
Buongiorno e Buonasera, Vegetarian Friendly
Buongiorno e Buonasera, Vegan Options
Buongiorno e Buonasera, Gluten Free Options 
Purslane Restaurant, French
Purslane Restaurant, British
Purslane Restaurant, Scottish
Purslane Restaurant, European
Purslane Restaurant, International
Purslane Restaurant, Vegetarian Friendly
Purslane Restaurant, Vegan Options
Purslane Restaurant, Gluten Free Options 
Nok's Kitchen, Asian
Nok's Kitchen, Thai
Nok's Kitchen, Vegetarian Friendly
Nok's Kitchen, Vegan Options
Nok's Kitchen, Gluten Free Options 
Fazenda Rodizio Bar and Grill, Steakhouse
Fazenda Rodizio Bar and Grill, Barbecue
Fazenda Rodizio Bar and Grill, Vegetarian Friendly
Fazenda Rodizio Bar and Grill, Vegan Options
Fazenda Rodizio Bar and Grill, Gluten Free Options 
Edinburgh Food Studio, European
Edinburgh Food Studio, British
Edinburgh Food Studio, Scottish
Edinburgh Food Studio, Vegetarian Friendly
Edinburgh Food Studio, Gluten Free Options
Edinburgh Food Studio, Vegan Options 
Chizuru Tei, Japanese
Chizuru Tei, Seafood
Chizuru Tei, Sushi
Chizuru Tei, Asian
Chizuru Tei, Vegetarian Friendly
Chizuru Tei, Vegan Options
Chizuru Tei, Gluten Free Options 
The Table, European
The Table, British
The Table, Scottish 
Colonnades at The Signet Library, British
Colonnades at The Signet Library, Scottish
Colonnades at The Signet Library, Vegetarian Friendly
Colonnades at The Signet Library, Vegan Options
Colonnades at The Signet Library, Gluten Free Options 
Pickles, Wine Bar
Pickles, Scottish
Pickles, Vegetarian Friendly
Pickles, Gluten Free Options 
Forage & Chatter, European
Forage & Chatter, British
Forage & Chatter, Scottish
Forage & Chatter, Vegetarian Friendly
Forage & Chatter, Vegan Options
Forage & Chatter, Gluten Free Options 
Aizle, European
Aizle, British
Aizle, Scottish
Aizle, International
Aizle, Vegetarian Friendly
Aizle, Gluten Free Options 
Sonder, European
Sonder, British
Sonder, Vegetarian Friendly
Sonder, Vegan Options
Sonder, Gluten Free Options 
Caribbean Croft, Caribbean
Caribbean Croft, Jamaican
Caribbean Croft, Vegetarian Friendly
Caribbean Croft, Vegan Options
Caribbean Croft, Gluten Free Options 
Fi Real, Caribbean
Fi Real, Jamaican
Fi Real, Vegetarian Friendly
Fi Real, Vegan Options
Fi Real, Gluten Free Options 
Pipal Tree Restaurant, Cafe
Pipal Tree Restaurant, British
Pipal Tree Restaurant, Indian
Pipal Tree Restaurant, Asian
Pipal Tree Restaurant, International
Pipal Tree Restaurant, Vegetarian Friendly
Pipal Tree Restaurant, Vegan Options
Pipal Tree Restaurant, Gluten Free Options 
Pasta Loco, Italian
Pasta Loco, Mediterranean
Pasta Loco, European
Pasta Loco, Vegetarian Friendly
Pasta Loco, Vegan Options
Pasta Loco, Gluten Free Options 
Pasture, Steakhouse
Pasture, European
Pasture, British
Pasture, Vegetarian Friendly
Pasture, Gluten Free Options 
The Crepe and Coffee Cabin, Cafe
The Crepe and Coffee Cabin, Fast Food
The Crepe and Coffee Cabin, Vegetarian Friendly 
Koocha Mezze Bar, Middle Eastern
Koocha Mezze Bar, Persian
Koocha Mezze Bar, Vegetarian Friendly
Koocha Mezze Bar, Vegan Options
Koocha Mezze Bar, Gluten Free Options 
Coronation Curry House, Indian
Coronation Curry House, Asian
Coronation Curry House, Balti
Coronation Curry House, Vegetarian Friendly
Coronation Curry House, Vegan Options
Coronation Curry House, Gluten Free Options 
Matina, Fast Food
Matina, Middle Eastern
Matina, Grill
Matina, Vegetarian Friendly
Matina, Vegan Options 
Everyday Thai, Thai
Everyday Thai, Vegetarian Friendly
Everyday Thai, Vegan Options
Everyday Thai, Halal
Everyday Thai, Gluten Free Options 
Charlie Brett's at The Allerton, British
Charlie Brett's at The Allerton, Vegetarian Friendly
Charlie Brett's at The Allerton, Vegan Options
Charlie Brett's at The Allerton, Gluten Free Options 
Falafel Guys, Fast Food
Falafel Guys, Healthy
Falafel Guys, Middle Eastern
Falafel Guys, Egyptian
Falafel Guys, Arabic
Falafel Guys, Vegetarian Friendly
Falafel Guys, Vegan Options
Falafel Guys, Halal
Falafel Guys, Gluten Free Options 
Westbourne Spice, Indian
Westbourne Spice, Asian
Westbourne Spice, Balti
Westbourne Spice, Pakistani
Westbourne Spice, Vegetarian Friendly
Westbourne Spice, Vegan Options
Westbourne Spice, Halal
Westbourne Spice, Gluten Free Options 
Ira B's, American
Ira B's, Cafe
Ira B's, European
Ira B's, British
Ira B's, Diner
Ira B's, Soups
Ira B's, Israeli
Ira B's, Vegetarian Friendly
Ira B's, Vegan Options
Ira B's, Kosher
Ira B's, Gluten Free Options 
La Cafetiere, Grill
La Cafetiere, Middle Eastern
La Cafetiere, Vegetarian Friendly
La Cafetiere, Vegan Options
La Cafetiere, Halal
La Cafetiere, Gluten Free Options 
The Oxford Place, European
The Oxford Place, British
The Oxford Place, International
The Oxford Place, Vegetarian Friendly
The Oxford Place, Vegan Options
The Oxford Place, Gluten Free Options 
Wood Fire Dine, Italian
Wood Fire Dine, Pizza
Wood Fire Dine, Vegetarian Friendly
Wood Fire Dine, Vegan Options
Wood Fire Dine, Gluten Free Options 
MyLahore Leeds, Indian
MyLahore Leeds, Asian
MyLahore Leeds, British
MyLahore Leeds, Fusion
MyLahore Leeds, Pakistani
MyLahore Leeds, Vegetarian Friendly
MyLahore Leeds, Vegan Options
MyLahore Leeds, Gluten Free Options
MyLahore Leeds, Halal 
Estabulo Rodizio Bar & Grill - The Light, Steakhouse
Estabulo Rodizio Bar & Grill - The Light, Brazilian
Estabulo Rodizio Bar & Grill - The Light, Gluten Free Options 
Salami & Co, Cafe
Salami & Co, British
Salami & Co, Vegetarian Friendly
Salami & Co, Vegan Options
Salami & Co, Gluten Free Options 
Estabulo Rodizio Bar & Grill - St Peter's Place, Steakhouse
Estabulo Rodizio Bar & Grill - St Peter's Place, Brazilian
Estabulo Rodizio Bar & Grill - St Peter's Place, Barbecue
Estabulo Rodizio Bar & Grill - St Peter's Place, Grill
Estabulo Rodizio Bar & Grill - St Peter's Place, Vegetarian Friendly
Estabulo Rodizio Bar & Grill - St Peter's Place, Gluten Free Options 
Home Restaurant, British
Home Restaurant, Vegetarian Friendly
Home Restaurant, Gluten Free Options 
Poco Sicilian Street Food, Italian
Poco Sicilian Street Food, Cafe
Poco Sicilian Street Food, Street Food
Poco Sicilian Street Food, Pizza
Poco Sicilian Street Food, Fast Food
Poco Sicilian Street Food, Mediterranean
Poco Sicilian Street Food, Vegetarian Friendly
Poco Sicilian Street Food, Vegan Options
Poco Sicilian Street Food, Gluten Free Options 
Northern Soul Grilled Cheese, American
Northern Soul Grilled Cheese, Fast Food
Northern Soul Grilled Cheese, British
Northern Soul Grilled Cheese, Vegetarian Friendly 
Ziya Asian Grill, Indian
Ziya Asian Grill, Street Food
Ziya Asian Grill, Halal
Ziya Asian Grill, Vegetarian Friendly
Ziya Asian Grill, Vegan Options 
Federal Cafe & Bar, Healthy
Federal Cafe & Bar, Australian
Federal Cafe & Bar, New Zealand
Federal Cafe & Bar, British
Federal Cafe & Bar, Vegetarian Friendly
Federal Cafe & Bar, Vegan Options
Federal Cafe & Bar, Gluten Free Options 
